year,month,day,land,sea
2017,9,15,40,48
2017,9,16,78,74
2017,9,17,51,70
2017,9,18,61,77
2017,9,19,70,90
2017,9,20,42,69
2017,9,21,38,51
2017,9,22,53,55
2017,9,23,89,86
2017,9,24,63,65
2017,9,25,53,51
2017,9,26,48,58
2017,9,27,45,60
2017,9,28,30,43
2017,9,29,50,53
2017,9,30,77,87
2017,10,1,71,79
2017,10,2,84,83
2017,10,3,33,48
2017,10,4,47,60
2017,10,5,51,55
2017,10,6,27,58
2017,10,7,72,57
2017,10,8,127,122
2017,10,9,97,97
2017,10,10,93,78
2017,10,11,54,56
2017,10,12,45,54
2017,10,13,34,43
2017,10,14,64,89
2017,10,15,76,68
2017,10,16,39,43
2017,10,17,42,45
2017,10,18,45,45
2017,10,19,26,36
2017,10,20,42,41
2017,10,21,84,72
2017,10,22,27,34
2017,10,23,40,34
2017,10,24,46,47
2017,10,25,38,40
2017,10,26,60,58
2017,10,27,63,52
2017,10,28,83,76
2017,10,29,51,54
2017,10,30,88,78
2017,10,31,44,38
2017,11,1,73,53
2017,11,2,79,84
2017,11,3,128,119
2017,11,4,108,101
2017,11,5,90,93
2017,11,6,51,57
2017,11,7,43,56
2017,11,8,44,44
2017,11,9,45,50
2017,11,10,60,49
2017,11,11,99,83
2017,11,12,93,85
2017,11,13,105,94
2017,11,14,67,61
2017,11,15,48,46
2017,11,16,51,53
2017,11,17,40,75
2017,11,18,65,76
2017,11,19,92,94
2017,11,20,75,93
2017,11,21,35,47
2017,11,22,62,70
2017,11,23,67,87
2017,11,24,97,105
2017,11,25,112,112
2017,11,26,93,111
2017,11,27,62,68
2017,11,28,37,51
2017,11,29,48,51
2017,11,30,25,36
2017,12,1,80,80
2017,12,2,93,92
2017,12,3,81,81
2017,12,4,67,67
2017,12,5,44,46
2017,12,6,48,49
2017,12,7,48,48
2017,12,8,87,87
2017,12,9,103,97
2017,12,10,87,79
2017,12,11,61,61
2017,12,12,61,61
2017,12,13,74,74
2017,12,14,98,98
2017,12,15,54,47
2017,12,16,114,86
2017,12,17,106,89
2017,12,18,54,45
2017,12,19,87,87
2017,12,20,52,50
2017,12,21,75,75
2017,12,22,45,42
2017,12,23,101,81
2017,12,24,97,71
2017,12,25,101,98
2017,12,26,98,98
2017,12,27,74,76
2017,12,28,90,89
2017,12,29,115,106
2017,12,30,115,105
2017,12,31,61,62
2018,1,1,82,86
2018,1,2,111,103
2018,1,3,102,92
2018,1,4,90,81
2018,1,5,89,78
2018,1,6,66,64
2018,1,7,85,69
2018,1,8,66,66
2018,1,9,35,32
2018,1,10,41,40
2018,1,11,54,54
2018,1,12,43,48
2018,1,13,79,79
2018,1,14,73,73
2018,1,15,50,50
2018,1,16,62,62
2018,1,17,36,36
2018,1,18,41,44
2018,1,19,26,46
2018,1,20,81,81
2018,1,21,71,61
2018,1,22,92,92
2018,1,23,32,27
2018,1,24,65,65
2018,1,25,24,44
2018,1,26,93,93
2018,1,27,65,75
2018,1,28,78,78
2018,1,29,51,51
2018,1,30,85,85
2018,1,31,46,39
2018,2,1,53,81
2018,2,2,63,63
2018,2,3,60,62
2018,2,4,51,62
2018,2,5,66,69
2018,2,6,54,71
2018,2,7,70,71
2018,2,8,83,49
2018,2,9,52,47
2018,2,10,87,101
2018,2,11,133,120
2018,2,12,98,105
2018,2,13,60,100
2018,2,14,53,70
2018,2,15,72,85
2018,2,16,79,54
2018,2,17,69,89
2018,2,18,61,82
2018,2,19,72,82
2018,2,20,60,82
2018,2,21,63,85
2018,2,22,60,86
2018,2,23,82,96
2018,2,24,91,107
2018,2,25,71,91
2018,2,26,76,76
2018,2,27,51,65
2018,2,28,67,67
2018,3,1,47,53
2018,3,2,59,80
2018,3,3,87,92
2018,3,4,88,89
2018,3,5,52,77
2018,3,6,78,111
2018,3,7,75,115
2018,3,8,55,98
2018,3,9,83,83
2018,3,10,92,107
2018,3,11,92,122
2018,3,12,140,133
2018,3,13,94,101
2018,3,14,93,98
2018,3,15,103,105
2018,3,16,97,114
2018,3,17,141,127
2018,3,18,135,115
2018,3,19,129,126
2018,3,20,106,116
2018,3,21,52,52
2018,3,22,104,86
2018,3,23,107,88
2018,3,24,134,124
2018,3,25,150,121
2018,3,26,150,119
2018,3,27,150,122
2018,3,28,146,123
2018,3,29,140,127
2018,3,30,108,105
2018,3,31,137,114
2018,4,1,119,103
2018,4,2,139,119
2018,4,3,128,115
2018,4,4,97,91
2018,4,5,68,69
2018,4,6,69,74
2018,4,7,94,90
2018,4,8,63,78
2018,4,9,99,99
2018,4,10,89,89
